component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,3,524,constant_rank_8,10649.404296875,10649.404296875,243670320.0,130260504.0,113409811.87829971,0.4654231663433598,0.0026445830694270195,0.0031341506113840892,0.0012308502258307648
attn_delta,3,608,constant_rank_3;variable_rank_9;raw_rank_3,13695.1875,13695.1875,371471968.0,183913808.0,187558160.66015625,0.5049052871202283,0.004031629610612961,0.004425083245380166,0.0020355911061089513
attn_delta,3,645,constant_rank_10,10230.6103515625,10230.6103515625,226770288.0,122104888.0,104665388.16549778,0.46154806737952275,0.0024611650048060396,0.002937921300981499,0.0011359459514703415
attn_delta,3,690,constant_rank_1;variable_rank_1;raw_rank_1,-201267.453125,201267.453125,43115663360.0,2607075584.0,40508587687.42407,0.9395329801420936,0.4679394410815847,0.0627278974409475,0.4396445376054069
attn_delta,4,35,variable_rank_4;raw_rank_6,-11998.0126953125,11998.0126953125,511624608.0,367672288.0,143952308.63687992,0.28136314474709534,0.0035343308413645674,0.0047319903170229246,0.0009944304401029822
attn_delta,4,37,raw_rank_10,-13715.4892578125,13715.4892578125,468045792.0,279931168.0,188114645.58117008,0.4019150450586042,0.00323328599127215,0.003602750654977069,0.0012995062848695
attn_delta,4,126,variable_rank_5,3416.14306640625,3416.14306640625,352543808.0,340873792.0,11670033.450155497,0.03310236397672171,0.0024353919535209465,0.004387090177084237,8.061723087142971e-05
attn_delta,4,144,variable_rank_10,-11335.1142578125,11335.1142578125,418522272.0,290037440.0,128484815.23766422,0.30699636275907494,0.0028911748000353616,0.00373281969418951,0.0008875801477115518
attn_delta,4,159,constant_rank_5;raw_rank_3,17765.185546875,17765.185546875,539171648.0,223569824.0,315601817.5148964,0.585345721878344,0.0037246273039231144,0.0028773728041927367,0.0021801946579426655
attn_delta,4,217,variable_rank_8,-7524.10498046875,7524.10498046875,375621632.0,319009472.0,56612155.75711465,0.15071590913356836,0.0025948148269312565,0.0041056935260309745,0.0003910798756742071
attn_delta,4,273,constant_rank_4,17874.935546875,17874.935546875,366639904.0,47126552.0,319513320.80493546,0.8714635731656079,0.0025327685574931223,0.0006065248728745022,0.002207215537114459
