component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
mlp_delta,0,3276800,768,0.2614533469355234,0.7385466390370413,12749910545.125,9416403581.125,3333506785.151455,12.765407359703179,63.34659037229534,1.8882312836017516,0.7687479939569708,0.9041805105349315,533,585,9,0.2754543787244719,0.11826580269268269,0.7194765558758639,690,690,690,0.18810955357538775,0.11826580269268269
mlp_delta,1,3276800,768,0.013669390794979124,0.9863306454708985,2420039599827.0,2386959220562.5,33080467029.360157,1.0216117629337234,1.021187169705589,1.0529544557709232,0.018982916513636254,0.01865491019917094,1,1,1,0.9893659620624226,0.9895716289896925,0.9745258563202199,690,690,690,0.013321174769852763,0.9895716289896925
mlp_delta,2,3276800,768,0.21026263950171198,0.7897373668114755,159365783377.0,125857114124.0,33508670259.106075,6.435652835969329,13.798167873920654,1.332839008711592,0.6923994497853023,0.8039486266942665,493,531,7,0.39334573783450527,0.2675049068011316,0.8659984669562156,690,690,690,0.18208712346665,0.2675049068011316
mlp_delta,3,3276800,768,0.20833175446433622,0.7916682485466728,299604793972.0,237187602500.0,62417192374.11274,13.303518274246592,49.50898074305437,1.6216519307691222,0.797103785499489,0.9029827665965212,524,558,65,0.2724246203070699,0.13752356689890652,0.7850535361405778,690,690,690,0.16355158053259775,0.13752356689890652
mlp_delta,4,3276800,768,0.09878862237631683,0.901211374028127,468530963040.0,422245432976.0,46285528379.37062,49.32688963205834,75.46956629746782,6.221570377060251,0.9123817884880157,0.9342000980747664,611,619,222,0.1383683532276292,0.1099627109114028,0.39750229607537113,690,690,690,0.039268704220708724,0.1099627109114028
mlp_delta,5,3276800,768,0.11640493336858179,0.8835950774975803,1070380726944.0,945783141376.0,124597597198.93047,39.94053662278974,53.23521215036858,9.460414352841335,0.9006957187271406,0.9190365621124589,614,624,261,0.1547465437731726,0.13302785743564183,0.31960666870484994,690,690,690,0.03720379297474245,0.13302785743564183
mlp_delta,6,3276800,768,0.01002391302250659,0.989976029827044,11621668400640.0,11505173143232.0,116494593224.42862,1.2558060809184484,1.2348695603319884,36.92508401369079,0.1583549126414452,0.14866593790156796,28,2,281,0.892347847414137,0.8998824009175737,0.14822389400122452,690,690,690,0.0014857834213255108,0.8998824009175737
mlp_delta,7,3276800,768,0.08296114949986381,0.9170388479916644,4069730774400.0,3732101220992.0,337629543199.19495,3.1276528946803093,3.1481249591631566,2.906767122576065,0.5353492772805873,0.5381848256177998,530,539,192,0.5652084514929923,0.5633734081202475,0.5854927094151553,690,690,690,0.048573148196871016,0.5633734081202475
mlp_delta,8,3276800,768,0.22507138040032404,0.7749286107436816,2827391403264.0,2191026492160.0,636364886064.6377,12.914170078911642,70.86545487987476,1.4251558098666262,0.8075566628459733,0.9349437827558437,608,637,41,0.2769419687221449,0.11411632088186609,0.8375563267137164,690,690,690,0.18850995861648095,0.11411632088186609
mlp_delta,9,3276800,768,0.1517527613758078,0.8482472310208603,3057860857984.0,2593822005632.0,464038829102.0688,36.29416098098805,233.83632168583003,1.7048344615622548,0.8997820755555807,0.9728501261090704,629,645,103,0.16303495830110415,0.05522002918357574,0.7656843481166183,690,690,690,0.11619471416893212,0.05522002918357574
mlp_delta,10,3276800,768,0.05217548732931007,0.9478245253854414,5395941696512.0,5114405877504.0,281535887616.05774,10.003804303383049,9.837295524722183,13.578577061191497,0.7760906752482362,0.7744646384616848,620,623,277,0.3151485399412744,0.3178468513213397,0.26613093795988035,690,690,690,0.01388551138146314,0.3178468513213397
mlp_delta,11,3276800,768,0.9554759815449215,0.04452397729802513,1.4777579585873766e+17,6579566180012032.0,1.4119622359670931e+17,1.0004831996758445,1.0053151921110064,1.0002588824166183,0.0005363574501011554,0.005178851934299446,1,1,1,0.9997584872097033,0.997352918949418,0.9998705836517443,690,690,690,0.9553523273325439,0.997352918949418
skip_delta,0,3276800,768,0.497656539814805,0.5023434570700248,191300970351.00977,96098790786.97656,95202178968.09813,3.4707559729114363,23.33083620449015,1.3151656055806855,0.5499726229571774,0.8440728493297186,409,512,14,0.536345076785223,0.20391137677723647,0.8719096256387362,690,690,690,0.4339115273265955,0.20391137677723647
skip_delta,1,3276800,768,0.2213304453482584,0.7786695526127111,582284930091.6562,453407546007.59375,128877382896.7658,141.70517237716587,187.6436982868321,28.303576498797774,0.8397406504415665,0.8655593516558079,302,336,79,0.029577399032616292,0.020957839320655796,0.09664696578897193,104,104,495,0.021390915979631053,0.020957839320655796
skip_delta,2,3276800,768,0.21424126386710682,0.7857587307053898,1968655146317.1445,1546887968966.793,421767166665.4691,58.117834564929154,163.4061161087062,7.928930011788457,0.8553607391910034,0.9048897182363692,377,406,73,0.12003533759077754,0.0608248470992018,0.3371977800332658,690,690,690,0.07224167856750953,0.0608248470992018
skip_delta,3,3276800,768,0.12289184737241778,0.8771081522728899,265897559914.69473,233220917470.64792,32676642349.734978,135.5836009602861,161.94777420272376,14.296068904997792,0.8290456433915,0.8395198261685793,245,254,65,0.041705738418802034,0.03220019700396361,0.19413536530462516,690,487,690,0.023857653682604566,0.03220019700396361
skip_delta,4,3276800,768,0.1529117090025114,0.8470883075176735,753676189662.3861,638430287917.4797,115245914195.77637,2.021836830026778,2.2134253171121028,1.3026224583619819,0.351750989687242,0.38175400694340694,138,150,4,0.7029784996834454,0.6717542188653702,0.8759523574240939,690,690,690,0.1339433719784969,0.6717542188653702
skip_delta,5,3276800,768,0.5566938396685288,0.4433061457531403,211422155369.25192,93724740823.56467,117697411463.50513,2.4949951849323124,15.603503383150043,1.123877257510153,0.38653442705967883,0.683493302803504,83,187,1,0.6318679134014198,0.24108624460787928,0.9430549586886142,690,690,690,0.5249928859708105,0.24108624460787928
